Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,0,-0.02458734,0.0001434601,0,0,0,0,0,0,0,0.02458734,0,0,0,143.4601
0.1,-0.0001793685,0.07196844,-0.0004199153,0,0,0,0,0,0.0001793685,0.0009556127,-0.07196844,0,0.0009556173,-0.0001793685,-419.9112
0.2,-0.000837053,0.10952,-0.000639018,0,0,0,0,0,0.0008370529,0.004459525,-0.10952,0,0.004459625,-0.000837053,-638.9894
0.3,-0.00233179,0.0509954,-0.0002975435,0,0,0,0,0,0.00233179,0.01242296,-0.0509954,0,0.01242374,-0.00233179,-297.5066
0.4,-0.004603792,0.02402999,-0.0001402081,0,0,0,0,0,0.004603792,0.02452739,-0.02402999,0,0.0245304,-0.004603792,-140.1737
0.5,-0.007294319,-0.007489451,0.0000437,0,0,0,0,0,0.007294319,0.03886158,0.007489451,0,0.03886913,-0.007294319,43.68182
0.6,-0.00962611,-0.0755219,0.0004406486,0,0,0,0,0,0.00962611,0.05128455,0.07552189,0,0.05129771,-0.00962611,440.4226
0.7000001,-0.01147958,-0.04939548,0.0002882085,0,0,0,0,0,0.01147958,0.06115921,0.04939548,0,0.06117792,-0.01147958,288.0322
0.8,-0.01315369,-0.1252579,0.0007308441,0,0,0,0,0,0.01315369,0.07007826,0.1252579,0,0.07010283,-0.01315369,730.332
0.9000001,-0.0148278,-0.06964943,0.0004063845,0,0,0,0,0,0.0148278,0.07899731,0.06964944,0,0.07902853,-0.0148278,406.0635
1,-0.01656169,-0.1814257,0.001058567,0,0,0,0,0,0.01656169,0.08823491,0.1814257,0,0.08827386,-0.01656169,1057.633
1.1,-0.01829559,-0.2624015,0.001531037,0,0,0,0,0,0.01829559,0.0974725,0.2624015,0,0.09752003,-0.01829559,1529.545
1.2,-0.02002948,-0.1922917,0.001121967,0,0,0,0,0,0.02002948,0.1067101,0.1922917,0,0.1067671,-0.02002948,1120.77
1.3,-0.0216438,-0.2614427,0.001525443,0,0,0,0,0,0.0216438,0.1153106,0.2614427,0,0.1153771,-0.0216438,1523.684
1.4,-0.02325812,-0.1761125,0.001027566,0,0,0,0,0,0.02325812,0.1239111,0.1761125,0,0.123988,-0.02325812,1026.293
1.5,-0.02487243,-0.2852121,0.001664131,0,0,0,0,0,0.02487243,0.1325116,0.2852121,0,0.1325995,-0.02487243,1661.926
1.6,-0.02654654,-0.2636399,0.001538263,0,0,0,0,0,0.02654654,0.1414307,0.2636399,0,0.1415308,-0.02654654,1536.088
1.7,-0.02834022,-0.3782924,0.002207228,0,0,0,0,0,0.02834022,0.1509868,0.3782924,0,0.1511009,-0.02834022,2203.895
1.8,-0.03013391,-0.2791,0.001628469,0,0,0,0,0,0.03013391,0.1605429,0.2791,0,0.1606719,-0.03013391,1625.854
1.9,-0.03180802,-0.3919149,0.002286711,0,0,0,0,0,0.03180802,0.169462,0.3919148,0,0.1696057,-0.03180802,2282.836
2,-0.03324296,-0.358398,0.002091149,0,0,0,0,0,0.03324296,0.1771069,0.358398,0,0.1772639,-0.03324296,2087.446
2.1,-0.03485728,-0.4351393,0.002538913,0,0,0,0,0,0.03485728,0.1857074,0.4351393,0,0.18588,-0.03485728,2534.198
2.2,-0.03653138,-0.3936727,0.002296967,0,0,0,0,0,0.03653139,0.1946265,0.3936727,0,0.1948161,-0.03653138,2292.497
2.3,-0.03832507,-0.5182324,0.003023738,0,0,0,0,0,0.03832507,0.2041826,0.5182324,0,0.2043913,-0.03832507,3017.564
2.4,-0.04005897,-0.5240648,0.003057768,0,0,0,0,0,0.04005897,0.2134202,0.5240648,0,0.2136482,-0.04005897,3051.242
2.5,-0.04173307,-0.4573107,0.002668277,0,0,0,0,0,0.04173307,0.2223392,0.4573107,0,0.2225868,-0.04173307,2662.345
