Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,-9.008364,-8149.267,47.54864,0,0,0,0,0,9.008365,47.99342,8149.268,0,65.37999,-9.008364,2.47E+07
0.1,-9.008604,-8149.218,47.54835,0,0,0,0,0,9.008604,47.99469,8149.218,0,65.38244,-9.008604,2.47E+07
0.2,-9.009022,-8150.016,47.55301,0,0,0,0,0,9.009022,47.99692,8150.016,0,65.38673,-9.009022,2.47E+07
0.3,-9.010936,-8162.294,47.62465,0,0,0,0,0,9.010936,48.00712,8162.294,0,65.40633,-9.010936,2.48E+07
0.378,-9.012909,-8188.159,47.77557,0,0,0,0,0,9.012909,48.01763,8188.159,0,65.42655,-9.012909,2.48E+07
0.45,-9.014942,-8214.239,47.92773,0,0,0,0,0,9.014942,48.02846,8214.239,0,65.44739,-9.014942,2.49E+07
0.532,-9.016854,-8239.873,48.07729,0,0,0,0,0,9.016854,48.03865,8239.872,0,65.467,-9.016854,2.50E+07
0.632,-9.018768,-8264.284,48.21973,0,0,0,0,0,9.018769,48.04885,8264.284,0,65.48663,-9.018768,2.51E+07
0.7320001,-9.020203,-8280.906,48.31672,0,0,0,0,0,9.020203,48.05649,8280.906,0,65.50133,-9.020203,2.51E+07
0.832,-9.022176,-8303.838,48.45052,0,0,0,0,0,9.022177,48.067,8303.838,0,65.52158,-9.022176,2.52E+07
0.9320001,-9.02391,-8324.361,48.57026,0,0,0,0,0,9.023911,48.07624,8324.361,0,65.53937,-9.02391,2.52E+07
1.032,-9.025643,-8345.062,48.69105,0,0,0,0,0,9.025643,48.08547,8345.063,0,65.55715,-9.025643,2.53E+07
1.132,-9.027079,-8362.084,48.79036,0,0,0,0,0,9.027079,48.09312,8362.084,0,65.57188,-9.027079,2.53E+07
1.232,-9.028813,-8382.04,48.9068,0,0,0,0,0,9.028813,48.10236,8382.04,0,65.58969,-9.028813,2.54E+07
